# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.9.0
#@/tick	20263
#@/user_id	c9f9f78f-86f8-43c0-aa8d-5b4cd8469c68
a 	啊	c=33 d=6.36438 t=20263
she ji 	设计	c=4 d=0.846006 t=20263
she men 	射门	c=2 d=1.42773 t=20263
she qu 	社区	c=1 d=0.774916 t=20263
she zhi 	设置	c=77 d=15.8769 t=20263
shei 	谁	c=3 d=1.89849 t=20263
shen 	神	c=1 d=0.843665 t=20263
shen du 	深度	c=1 d=0.305746 t=20263
shen he 	审核	c=1 d=0.798516 t=20263
shen me 	什么	c=105 d=10.5088 t=20263
shen me de 	什么的	c=1 d=0.755784 t=20263
shen me ma 	什么吗	c=1 d=0.57695 t=20263
shen me yang 	什么样	c=1 d=0.329559 t=20263
shen qi 	神器	c=1 d=0.980199 t=20263
shen qi 	神奇	c=1 d=0.985112 t=20263
shen zhen shi 	深圳市	c=1 d=0.763379 t=20263
shen zhi 	甚至	c=2 d=1.09216 t=20263
sheng 	省	c=8 d=3.52373 t=20263
sheng chan li 	生产力	c=1 d=0.501576 t=20263
sheng cheng 	生成	c=3 d=1.84151 t=20263
sheng de 	省的	c=1 d=0.878095 t=20263
sheng fen 	省份	c=5 d=2.44012 t=20263
sheng ji 	升级	c=1 d=0.603506 t=20263
sheng ming zhou qi 	生命周期	c=1 d=0.856415 t=20263
sheng nei 	省内	c=1 d=0.315058 t=20263
sheng ri 	生日	c=1 d=0.744532 t=20263
sheng wai 	省外	c=2 d=0.967144 t=20263
sheng xiao 	生效	c=3 d=0.990324 t=20263
shi 	十	c=0 d=0.0763379 t=20263
shi 	市	c=5 d=2.00618 t=20263
shi 	时	c=21 d=5.38318 t=20263
shi 	是	c=396 d=17.2079 t=20263
shi 	试	c=1 d=0.951229 t=20263
shi ba 	是吧	c=51 d=5.8012 t=20263
shi bai 	失败	c=157 d=14.7106 t=20263
shi bai le 	失败了	c=4 d=2.60618 t=20263
shi bei 	是被	c=1 d=0.806541 t=20263
shi bi an 	是彼岸	c=2 d=1.11794 t=20263
shi bie 	识别	c=8 d=3.69601 t=20263
shi bu shi 	是不是	c=51 d=5.70587 t=20263
shi chang 	时长	c=1 d=0.554327 t=20263
shi de 	是的	c=12 d=4.06665 t=20263
shi duo shao 	是多少	c=1 d=0.814647 t=20263
shi fou 	是否	c=33 d=6.06376 t=20263
shi ge 	是个	c=3 d=1.73778 t=20263
shi guo 	试过	c=1 d=0.621885 t=20263
shi hou 	时候	c=30 d=4.50284 t=20263
shi hou ou 	时候欧	c=2 d=0.955055 t=20263
shi hui 	是会	c=1 d=0.353455 t=20263
shi ji 	实际	c=1 d=0.511709 t=20263
shi jian 	事件	c=1 d=0.748264 t=20263
shi jian 	时间	c=49 d=9.05675 t=20263
shi li 	示例	c=3 d=1.16388 t=20263
shi ma 	是吗	c=1 d=0.873716 t=20263
shi me 	是么	c=1 d=0.565525 t=20263
shi mian 	失眠	c=1 d=0.597501 t=20263
shi nian 	十年	c=1 d=0.71177 t=20263
shi o 	是哦	c=0 d=0.0852144 t=20263
shi o na ge 	是哦那个	c=1 d=0.856415 t=20263
shi pei 	适配	c=4 d=1.4589 t=20263
shi pin 	视频	c=1 d=0.722527 t=20263
shi qu 	失去	c=1 d=0.814647 t=20263
shi sha 	是啥	c=1 d=0.826959 t=20263
shi shen me 	是什么	c=1 d=0.67032 t=20263
shi shi 	事实	c=1 d=0.995012 t=20263
shi shi 	试试	c=60 d=6.23667 t=20263
shi shi shang 	事实上	c=1 d=0.585669 t=20263
shi wo 	是我	c=1 d=0.778801 t=20263
shi xia 	试下	c=1 d=0.737123 t=20263
shi xian 	实现	c=1 d=0.955997 t=20263
shi xiang 	事项	c=1 d=0.826959 t=20263
shi xiang 	试想	c=1 d=0.927743 t=20263
shi xiao 	失效	c=1 d=0.927743 t=20263
shi ye 	师爷	c=1 d=0.697676 t=20263
shi yi ge 	是一个	c=1 d=0.579842 t=20263
shi yi xia 	试一下	c=3 d=1.47918 t=20263
shi yong 	使用	c=134 d=13.7919 t=20263
shi yong 	适用	c=1 d=0.856415 t=20263
shi you 	是有	c=0 d=0.0927743 t=20263
shi you na ge 	是有那个	c=1 d=0.932394 t=20263
shou 	收	c=1 d=0.722527 t=20263
shou bu liao 	受不了	c=1 d=0.701173 t=20263
shou cang 	收藏	c=1 d=0.554327 t=20263
shou dao 	收到	c=5 d=1.88652 t=20263
shou dong 	手动	c=28 d=4.23782 t=20263
shou gong 	手工	c=1 d=0.647265 t=20263
shou ji 	手机	c=1 d=0.927743 t=20263
shou ji 	收集	c=7 d=3.00741 t=20263
shou xian 	首先	c=1 d=0.310367 t=20263
shu 	数	c=2 d=1.91813 t=20263
shu chu 	输出	c=3 d=2.41696 t=20263
shu fu 	舒服	c=1 d=0.985112 t=20263
shu ju 	数据	c=157 d=15.8728 t=20263
shu ju ku 	数据库	c=7 d=2.19856 t=20263
shu ju ma 	数据吗	c=1 d=0.729789 t=20263
shu li 	梳理	c=1 d=0.680451 t=20263
shu liang 	数量	c=30 d=7.16316 t=20263
shu nv 	淑女	c=1 d=0.985112 t=20263
shu ru 	输入	c=14 d=5.50646 t=20263
shu ru fa 	输入法	c=5 d=2.85169 t=20263
shu ru kuang 	输入框	c=3 d=2.40476 t=20263
shu ru shu chu 	输入输出	c=1 d=0.50409 t=20263
shu xing 	属性	c=5 d=4.58089 t=20263
shu yu 	属于	c=1 d=0.219808 t=20263
shu zi 	数字	c=5 d=1.12254 t=20263
shu zu 	数组	c=1 d=0.913931 t=20263
shua xin 	刷新	c=10 d=5.10189 t=20263
shuang 	双	c=3 d=1.61824 t=20263
shuang ji 	双击	c=1 d=0.113042 t=20263
shuang yin hao 	双引号	c=2 d=0.786697 t=20263
shui jiao 	睡觉	c=1 d=0.427415 t=20263
shui ping 	水平	c=1 d=0.631284 t=20263
shui qian 	睡前	c=1 d=0.83527 t=20263
shui wu 	税务	c=2 d=1.4489 t=20263
shun xu 	顺序	c=2 d=1.18541 t=20263
shuo 	说	c=20 d=4.09831 t=20263
shuo de 	说的	c=1 d=0.50409 t=20263
shuo le 	说了	c=1 d=1 t=20263
shuo ming 	说明	c=13 d=3.85019 t=20263
shuo sha 	说啥	c=2 d=0.843665 t=20263
shuo xia 	说下	c=5 d=3.20655 t=20263
shuo yi xia 	说一下	c=4 d=1.66397 t=20263
shuo zhe ge 	说这个	c=1 d=0.26982 t=20263
si 	四	c=1 d=0.802519 t=20263
si chuan 	四川	c=1 d=0.847894 t=20263
si chuan sheng 	四川省	c=1 d=0.56836 t=20263
si you 	私有	c=1 d=0.32628 t=20263
song 	松	c=3 d=2.54236 t=20263
song ni 	送你	c=1 d=0.895834 t=20263
sou sou 	搜搜	c=1 d=0.97531 t=20263
sou suo 	搜索	c=12 d=4.05372 t=20263
su du 	速度	c=3 d=2.44609 t=20263
su ju 	苏剧	c=1 d=0.873716 t=20263
su zhou shi 	苏州市	c=1 d=0.57695 t=20263
su zhu 	宿主	c=2 d=0.484651 t=20263
su zhu ji 	宿主机	c=8 d=1.82599 t=20263
suan 	算	c=10 d=3.92116 t=20263
suan le 	算了	c=8 d=4.52434 t=20263
suan zai 	算在	c=1 d=0.985112 t=20263
suan zuo 	算作	c=0 d=0.0278037 t=20263
sui bian 	随便	c=1 d=0.687289 t=20263
sui ji 	随机	c=1 d=0.99005 t=20263
sui ran 	虽然	c=1 d=0.951229 t=20263
sui yi 	随意	c=1 d=0.790571 t=20263
sui zhi 	随之	c=1 d=0.722527 t=20263
suo 	锁	c=1 d=0.203926 t=20263
suo duan 	缩短	c=1 d=0.970446 t=20263
suo xie 	缩写	c=1 d=0.965605 t=20263
suo yi 	所以	c=16 d=3.11706 t=20263
suo you 	所有	c=30 d=5.70944 t=20263
ta 	他	c=23 d=4.28252 t=20263
ta 	她	c=18 d=8.39527 t=20263
ta 	它	c=3 d=1.2998 t=20263
ta de 	他的	c=5 d=1.9151 t=20263
ta men 	他们	c=14 d=3.78962 t=20263
ta yao 	她要	c=1 d=0.99005 t=20263
tai 	太	c=2 d=1.3846 t=20263
tai da 	太大	c=1 d=0.637628 t=20263
tai di 	太低	c=1 d=0.562705 t=20263
tai duo 	太多	c=2 d=1.26687 t=20263
tai duo le 	太多了	c=3 d=1.35177 t=20263
tai jiu 	太久	c=2 d=0.995012 t=20263
tai nan le 	太难了	c=1 d=0.923116 t=20263
tai shi ji 	台式机	c=2 d=0.651031 t=20263
tai wan le 	太晚了	c=1 d=0.71177 t=20263
tai za 	太杂	c=2 d=1.97032 t=20263
tan 	弹	c=3 d=2.66304 t=20263
tan 	谈	c=1 d=0.970446 t=20263
tan ce 	探测	c=3 d=1.77842 t=20263
tan chu 	弹出	c=4 d=1.93228 t=20263
tao can 	套餐	c=12 d=6.05002 t=20263
te ding 	特定	c=1 d=0.985112 t=20263
te shu 	特殊	c=10 d=3.04891 t=20263
te xiao 	特效	c=2 d=1.04292 t=20263
teng xun 	腾讯	c=1 d=0.196912 t=20263
ti 	提	c=1 d=0.891366 t=20263
ti bu 	替补	c=1 d=0.447088 t=20263
ti chu 	剔除	c=2 d=1.47439 t=20263
ti dai 	替代	c=1 d=0.985112 t=20263
ti gong 	提供	c=3 d=1.37386 t=20263
ti huan 	替换	c=10 d=4.04672 t=20263
ti huan diao 	替换掉	c=1 d=0.798516 t=20263
ti jiao 	提交	c=2 d=0.876979 t=20263
ti qian 	提前	c=1 d=0.937067 t=20263
ti qu 	提取	c=1 d=0.878095 t=20263
ti shi 	提示	c=10 d=5.02891 t=20263
ti xing 	提醒	c=1 d=0.640824 t=20263
ti yan 	体验	c=1 d=0.680451 t=20263
ti zi 	梯子	c=2 d=1.92168 t=20263
tian 	天	c=1 d=0.532592 t=20263
tian jia 	添加	c=20 d=4.75624 t=20263
tian tian 	天天	c=3 d=1.37454 t=20263
tian xie 	填写	c=3 d=1.81303 t=20263
tiao 	条	c=7 d=3.27948 t=20263
tiao 	调	c=6 d=2.05012 t=20263
tiao 	跳	c=2 d=1.8509 t=20263
tiao chu 	跳出	c=1 d=0.946485 t=20263
tiao guo 	跳过	c=9 d=4.18567 t=20263
tiao jian 	条件	c=1 d=0.752014 t=20263
tiao shi 	调试	c=20 d=6.00364 t=20263
tiao zheng 	调整	c=4 d=2.67633 t=20263
tiao zhuan 	跳转	c=3 d=1.98516 t=20263
ting 	停	c=1 d=0.951229 t=20263
ting 	婷	c=1 d=0.965605 t=20263
ting bu cuo 	挺不错	c=2 d=1.36675 t=20263
ting che 	停车	c=1 d=0.995012 t=20263
ting che chang 	停车场	c=1 d=0.918512 t=20263
ting duo 	挺多	c=3 d=2.24832 t=20263
ting hao 	挺好	c=1 d=0.839457 t=20263
ting hao yong 	挺好用	c=2 d=0.900325 t=20263
ting zhi 	停止	c=3 d=1.31147 t=20263
tong 	同	c=1 d=0.856415 t=20263
tong 	通	c=2 d=1.34214 t=20263
tong bu 	同步	c=2 d=1.70431 t=20263
tong gong 	童工	c=1 d=0.66034 t=20263
tong guo 	通过	c=26 d=3.22713 t=20263
tong ji 	统计	c=42 d=9.30592 t=20263
tong le 	通了	c=2 d=0.386608 t=20263
tong li 	同理	c=1 d=0.970446 t=20263
tong ming 	同名	c=1 d=0.873716 t=20263
tong shi 	同事	c=1 d=0.970446 t=20263
tong shi 	同时	c=2 d=1.30174 t=20263
tong xin 	通信	c=1 d=0.752014 t=20263
tong yang 	同样	c=1 d=0.718924 t=20263
tong yi 	统一	c=1 d=0.744532 t=20263
tong yi ge 	同一个	c=7 d=3.747 t=20263
tong yi lei 	统一类	c=1 d=0.985112 t=20263
tong yong 	通用	c=3 d=1.06576 t=20263
tou 	头	c=6 d=2.31688 t=20263
tou 	投	c=1 d=0.869358 t=20263
tou bu 	头部	c=1 d=0.927743 t=20263
tou di 	投递	c=1 d=0.579842 t=20263
tou ming 	透明	c=3 d=1.05252 t=20263
tou ming du 	透明度	c=2 d=1.9415 t=20263
tou ming hua 	透明化	c=1 d=0.255381 t=20263
tu 	吐	c=1 d=0.687289 t=20263
tu 	图	c=1 d=0.995012 t=20263
tu biao 	图标	c=3 d=0.570948 t=20263
tu biao 	图表	c=2 d=0.774916 t=20263
tu dou 	土豆	c=1 d=0.923116 t=20263
tu ran 	突然	c=5 d=2.16233 t=20263
tu xing hua 	图形化	c=1 d=0.594521 t=20263
tui chi 	推迟	c=1 d=0.755784 t=20263
tui chu 	推出	c=2 d=0.898703 t=20263
tui chu 	退出	c=3 d=1.3955 t=20263
tui jian 	推荐	c=7 d=3.52862 t=20263
tui le 	退了	c=1 d=0.960789 t=20263
tui song 	推送	c=3 d=1.39807 t=20263
tuo li 	脱离	c=1 d=0.913931 t=20263
tuo pan 	托盘	c=1 d=0.105399 t=20263
wai bu 	外部	c=1 d=0.831104 t=20263
wai mian 	外面	c=2 d=0.928452 t=20263
wai nao 	外脑	c=0 d=0.0927743 t=20263
wai wang 	外网	c=4 d=3.18914 t=20263
wan 	完	c=5 d=2.45955 t=20263
wan 	晚	c=1 d=0.970446 t=20263
wan 	玩	c=8 d=3.71478 t=20263
wan cheng 	完成	c=13 d=5.08314 t=20263
wan le 	完了	c=6 d=2.72593 t=20263
wan mei 	完美	c=1 d=0.562705 t=20263
wan nian 	万年	c=1 d=0.704688 t=20263
wan qi lai 	玩起来	c=1 d=0.650509 t=20263
wan quan 	完全	c=3 d=1.56061 t=20263
wan shan 	完善	c=1 d=0.900325 t=20263
wan shang 	晚上	c=4 d=2.81574 t=20263
wan yi er 	玩意儿	c=10 d=2.22063 t=20263
wan you xi 	玩游戏	c=2 d=0.874867 t=20263
wang 	往	c=1 d=0.71177 t=20263
wang 	网	c=1 d=0.88692 t=20263
wang ba 	网吧	c=3 d=2.11152 t=20263
wang hou 	往后	c=1 d=0.752014 t=20263
wang ji 	忘记	c=4 d=1.69933 t=20263
wang ji le 	忘记了	c=6 d=2.26159 t=20263
wang le 	忘了	c=3 d=1.91198 t=20263
wang luo 	网络	c=6 d=2.53049 t=20263
wang shang zou 	往上走	c=1 d=0.744532 t=20263
wang su 	网速	c=2 d=1.65535 t=20263
wang ye 	网页	c=1 d=0.980199 t=20263
wang yi 	网易	c=2 d=1.13665 t=20263
wang zhan 	网站	c=3 d=1.61657 t=20263
wei 	为	c=66 d=10.2565 t=20263
wei 	未	c=21 d=5.20569 t=20263
wei hu 	维护	c=2 d=1.82612 t=20263
wei le 	为了	c=3 d=1.29599 t=20263
wei li 	为例	c=2 d=0.78976 t=20263
wei nin 	为您	c=1 d=0.878095 t=20263
wei ruan 	微软	c=1 d=0.208045 t=20263
wei sha 	为啥	c=11 d=3.19566 t=20263
wei shen me 	为什么	c=11 d=2.94592 t=20263
wei tiao 	微调	c=1 d=0.99005 t=20263
wei xin 	微信	c=5 d=2.86531 t=20263
wei yi 	唯一	c=1 d=0.806541 t=20263
wei zhe 	围着	c=1 d=0.767206 t=20263
wei zhi 	位置	c=14 d=2.95116 t=20263
wei zhi 	未知	c=1 d=0.941765 t=20263
wen 	稳	c=1 d=0.479505 t=20263
wen 	问	c=3 d=0.946485 t=20263
wen ben 	文本	c=2 d=1.61316 t=20263
wen dang 	文档	c=11 d=2.07925 t=20263
wen ding 	稳定	c=3 d=1.61359 t=20263
wen ding xing 	稳定性	c=2 d=0.97563 t=20263
wen guo 	问过	c=1 d=0.255381 t=20263
wen jian 	文件	c=97 d=13.5778 t=20263
wen jian ba 	文件吧	c=1 d=0.923116 t=20263
wen jian jia 	文件夹	c=41 d=13.8414 t=20263
wen jian ma 	文件吗	c=1 d=0.918512 t=20263
wen jian zhong 	文件中	c=1 d=0.900325 t=20263
wen ti 	问题	c=118 d=8.70911 t=20263
wen ti le 	问题了	c=1 d=0.625002 t=20263
wen wen 	问问	c=9 d=3.45107 t=20263
wen xia 	问下	c=1 d=0.524663 t=20263
wen zhang 	文章	c=1 d=0.891366 t=20263
wen zi 	文字	c=3 d=1.83213 t=20263
wo 	我	c=474 d=16.4614 t=20263
wo 	窝	c=1 d=0.806541 t=20263
wo cao 	卧槽	c=11 d=3.43207 t=20263
wo de 	我的	c=18 d=4.05352 t=20263
wo hai 	我还	c=1 d=0.612626 t=20263
wo ji de 	我记得	c=3 d=1.53019 t=20263
wo jiu 	我就	c=1 d=0.900325 t=20263
wo jue de 	我觉得	c=1 d=0.810584 t=20263
wo kan xia 	我看下	c=2 d=1.29389 t=20263
wo men 	我们	c=10 d=4.16593 t=20263
wo neng 	我能	c=1 d=0.551563 t=20263
wo qie 	我切	c=1 d=0.763379 t=20263
wo shi 	我是	c=1 d=0.847894 t=20263
wo shi shi 	我试试	c=1 d=0.904837 t=20263
wo shi yao 	我是要	c=1 d=0.666977 t=20263
wo xiang 	我想	c=5 d=3.4007 t=20263
wo ye 	我也	c=2 d=1.91813 t=20263
wo ye yao 	我也要	c=1 d=0.331211 t=20263
wo yi wei 	我以为	c=1 d=0.856415 t=20263
wo zai 	我再	c=1 d=0.66034 t=20263
wo zhe li 	我这里	c=1 d=0.159614 t=20263
wo zhi dao 	我知道	c=2 d=1.0604 t=20263
wu 	屋	c=1 d=0.794534 t=20263
wu 	无	c=3 d=1.81739 t=20263
wu 	误	c=0 d=0.0873716 t=20263
wu fen zhong 	五分钟	c=2 d=0.918979 t=20263
wu han shi 	武汉市	c=2 d=0.917297 t=20263
wu lan jie 	误拦截	c=2 d=1.43536 t=20263
wu li 	物理	c=7 d=3.46164 t=20263
wu yong 	无用	c=1 d=0.217621 t=20263
xi 	系	c=0 d=0.083527 t=20263
xi gai 	膝盖	c=2 d=1.08666 t=20263
xi huan 	喜欢	c=3 d=0.97531 t=20263
xi tong 	系统	c=20 d=4.61467 t=20263
xi tong hui gu 	系统回顾	c=1 d=0.909373 t=20263
xi wang 	希望	c=1 d=0.470011 t=20263
xi xin 	细心	c=1 d=0.694197 t=20263
xia 	下	c=24 d=4.14066 t=20263
xia ban 	下班	c=2 d=1.8825 t=20263
xia bu qu 	下不去	c=4 d=2.4459 t=20263
xia fa 	下发	c=28 d=5.34742 t=20263
xia fa le 	下发了	c=1 d=0.740818 t=20263
xia jia 	下架	c=1 d=0.436049 t=20263
xia mian 	下面	c=5 d=1.77967 t=20263
xia qu 	下去	c=2 d=0.852144 t=20263
xia shi 	下士	c=1 d=0.341298 t=20263
xia tian 	夏天	c=1 d=0.970446 t=20263
xia wu 	下午	c=2 d=0.995012 t=20263
xia yi ge 	下一个	c=3 d=1.36882 t=20263
xia zai 	下载	c=14 d=5.56127 t=20263
xia zai nai 	下载乃	c=2 d=1.23762 t=20263
xia zhou 	下周	c=6 d=2.23732 t=20263
xian 	先	c=41 d=4.54957 t=20263
xian 	县	c=2 d=1.33544 t=20263
xian 	线	c=1 d=0.71177 t=20263
xian ba 	先把	c=1 d=0.985112 t=20263
xian cheng 	线程	c=3 d=2.29017 t=20263
xian cheng chi 	线程池	c=2 d=1.51967 t=20263
xian cun 	显存	c=2 d=1.80869 t=20263
xian ka 	显卡	c=7 d=3.72139 t=20263
xian sha 	先杀	c=0 d=0.0937067 t=20263
xian sha gong neng 	先杀功能	c=1 d=0.941765 t=20263
xian sha ni ge 	先杀你个	c=1 d=0.66365 t=20263
xian shang 	线上	c=10 d=3.17455 t=20263
xian shi 	显示	c=43 d=8.73031 t=20263
xian shi 	现实	c=1 d=0.794534 t=20263
xian shi ping 	显示屏	c=1 d=0.729789 t=20263
xian shi qi 	显示器	c=1 d=0.767206 t=20263
xian xing 	显性	c=1 d=0.878095 t=20263
xian you 	现有	c=1 d=0.97531 t=20263
xian zai 	现在	c=102 d=11.4662 t=20263
xiang 	像	c=6 d=1.92321 t=20263
xiang 	想	c=8 d=3.04034 t=20263
xiang 	项	c=1 d=0.865022 t=20263
xiang dang yu 	相当于	c=4 d=1.72825 t=20263
xiang deng 	相等	c=1 d=0.585669 t=20263
xiang dui 	相对	c=2 d=0.886661 t=20263
xiang gang 	香港	c=1 d=0.878095 t=20263
xiang guan 	相关	c=17 d=5.88117 t=20263
xiang mu 	项目	c=14 d=4.85584 t=20263
xiang qing 	详情	c=5 d=2.53237 t=20263
xiang shan 	向善	c=1 d=0.946485 t=20263
xiang shi 	像是	c=1 d=0.232236 t=20263
xiang tong 	相同	c=5 d=2.92197 t=20263
xiang xi 	详细	c=1 d=0.782705 t=20263
xiang xia 	向下	c=1 d=0.932394 t=20263
xiang xiang 	想想	c=3 d=1.96478 t=20263
xiang yang shi 	襄阳市	c=1 d=0.822835 t=20263
xiang yao 	想要	c=4 d=2.28268 t=20263
xiang ying 	响应	c=8 d=2.32961 t=20263
xiang zai 	想在	c=1 d=0.666977 t=20263
xiao 	小	c=10 d=2.72383 t=20263
xiao 	晓	c=1 d=0.960789 t=20263
xiao di tu 	小地图	c=1 d=0.923116 t=20263
xiao er mei 	小而美	c=1 d=0.690734 t=20263
xiao guo 	效果	c=8 d=3.30701 t=20263
xiao le 	小了	c=1 d=0.852144 t=20263
xiao ou 	小鸥	c=0 d=0.0159614 t=20263
xiao shi 	小时	c=6 d=3.85003 t=20263
xiao xi 	消息	c=6 d=1.20591 t=20263
xiao yu 	小于	c=12 d=4.0741 t=20263
xiao yu deng yu 	小于等于	c=1 d=0.369723 t=20263
xiao zhu shou 	小助手	c=1 d=0.810584 t=20263
xiao zi 	小子	c=2 d=0.970446 t=20263
xie 	些	c=1 d=0.737123 t=20263
xie 	写	c=20 d=4.7157 t=20263
xie 	谢	c=2 d=1.6138 t=20263
xie cheng 	协程	c=1 d=0.927743 t=20263
xie chu lai 	写出来	c=1 d=0.574072 t=20263
xie cuo 	写错	c=1 d=0.904837 t=20263
xie cuo le 	写错了	c=1 d=0.826959 t=20263
xie dai ma 	写代码	c=1 d=0.451581 t=20263
xie fa 	写法	c=2 d=0.980948 t=20263
xie gang 	斜杠	c=2 d=1.14227 t=20263
xie jin qu 	写进去	c=2 d=1.54241 t=20263
xie ru 	写入	c=3 d=0.880938 t=20263
xie shang 	写上	c=2 d=1.29676 t=20263
xie shang 	协商	c=1 d=0.900325 t=20263
xie wan 	写完	c=1 d=0.579842 t=20263
xie xie 	谢谢	c=1 d=0.99005 t=20263
xie yi 	协议	c=6 d=4.63033 t=20263
xie zhu 	协助	c=1 d=0.965605 t=20263
xin 	新	c=11 d=4.85865 t=20263
xin ban 	新版	c=1 d=0.918512 t=20263
xin de 	新的	c=5 d=1.2073 t=20263
xin jie mian 	新界面	c=1 d=0.755784 t=20263
xin lei 	心累	c=2 d=1.37818 t=20263
xin mi ma 	新密码	c=1 d=0.839457 t=20263
xin si 	心死	c=0 d=0.0995012 t=20263
xin si le 	心死了	c=1 d=1 t=20263
xin xi 	信息	c=46 d=6.94437 t=20263
xin ye mian 	新页面	c=1 d=0.860708 t=20263
xin zai 	新再	c=1 d=0.856415 t=20263
xin zeng 	新增	c=1 d=0.951229 t=20263
xing 	型	c=1 d=0.458406 t=20263
xing 	星	c=3 d=1.84177 t=20263
xing 	行	c=17 d=3.95306 t=20263
xing ba 	行吧	c=5 d=1.85881 t=20263
xing bu xing 	行不行	c=6 d=2.13455 t=20263
xing jia bi 	性价比	c=2 d=1.40531 t=20263
xing neng 	性能	c=1 d=0.900325 t=20263
xing qi 	星期	c=3 d=1.90295 t=20263
xing shi 	形式	c=15 d=4.42103 t=20263
xing tai shi 	邢台市	c=1 d=0.554327 t=20263
xiu 	修	c=0 d=0.0802519 t=20263
xiu da fu 	修大幅	c=1 d=0.806541 t=20263
xiu fu 	修复	c=25 d=7.78692 t=20263
xiu gai 	修改	c=44 d=8.03415 t=20263
xiu mian 	休眠	c=2 d=1.83888 t=20263
xu 	徐	c=31 d=4.04685 t=20263
xu 	需	c=1 d=0.285076 t=20263
xu bu xu yao 	需不需要	c=3 d=2.33454 t=20263
xu ding 	续订	c=1 d=0.831104 t=20263
xu ming 	续命	c=1 d=0.790571 t=20263
xu ni 	虚拟	c=5 d=3.12651 t=20263
xu ni ji 	虚拟机	c=9 d=2.01027 t=20263
xu qiu 	需求	c=1 d=0.965605 t=20263
xu yao 	需要	c=67 d=8.35026 t=20263
xuan ze 	选择	c=12 d=4.21648 t=20263
xue xiao 	学校	c=1 d=0.904837 t=20263
xun huan 	循环	c=3 d=1.65042 t=20263
ya 	鸭	c=7 d=2.508 t=20263
ya gen bu 	压根不	c=0 d=0.0918512 t=20263
yan 	验	c=1 d=0.810584 t=20263
yan chi 	延迟	c=4 d=2.62584 t=20263
yan jing 	眼睛	c=1 d=0.900325 t=20263
yan sheng 	衍生	c=1 d=0.946485 t=20263
yan zheng 	验证	c=8 d=1.76765 t=20263
yan zheng ma 	验证码	c=2 d=1.78747 t=20263
yan zhi 	颜值	c=2 d=1.80074 t=20263
yang 	阳	c=1 d=0.516851 t=20263
yang ben 	样本	c=69 d=11.4392 t=20263
yang ben en 	样本嗯	c=1 d=0.826959 t=20263
yang shi 	样式	c=4 d=1.97551 t=20263
yang zhou 	扬州	c=1 d=0.737123 t=20263
yang zi 	样子	c=11 d=3.12522 t=20263
yao 	要	c=71 d=8.28468 t=20263
yao bu 	要不	c=8 d=2.1656 t=20263
yao bu yao 	要不要	c=9 d=2.10456 t=20263
yao duo jiu 	要多久	c=1 d=0.97531 t=20263
yao me 	要么	c=2 d=1.34625 t=20263
yao qu 	要去	c=2 d=1.11511 t=20263
yao shi 	要是	c=2 d=0.913931 t=20263
yao shi 	钥匙	c=1 d=0.810584 t=20263
yao wo 	要我	c=3 d=2.25776 t=20263
ye 	也	c=77 d=6.65481 t=20263
ye 	页	c=1 d=0.323033 t=20263
ye bi 	也比	c=1 d=0.647265 t=20263
ye bu tai 	也不太	c=1 d=0.843665 t=20263
ye bu tai xing 	也不太行	c=1 d=0.694197 t=20263
ye dei 	也得	c=1 d=0.339596 t=20263
ye dou 	也都	c=1 d=0.960789 t=20263
ye hai xing ba 	也还行吧	c=1 d=0.941765 t=20263
ye hui 	也会	c=6 d=2.2667 t=20263
ye jiang 	也将	c=1 d=0.524663 t=20263
ye jiu 	也就	c=1 d=0.937067 t=20263
ye jiu shi 	也就是	c=4 d=1.6709 t=20263
ye ke 	也可	c=1 d=0.726149 t=20263
ye ke neng shi 	也可能是	c=1 d=0.25284 t=20263
ye ke yi 	也可以	c=4 d=2.5617 t=20263
ye mei 	也没	c=1 d=0.937067 t=20263
ye mei you 	也没有	c=1 d=0.318224 t=20263
ye mian 	页面	c=10 d=3.68243 t=20263
ye neng 	也能	c=1 d=0.985112 t=20263
ye shi 	也是	c=18 d=4.33487 t=20263
ye xing 	也行	c=3 d=1.59448 t=20263
ye yao 	也要	c=6 d=2.19755 t=20263
ye yi yang 	也一样	c=1 d=0.955997 t=20263
ye you 	也有	c=4 d=1.46049 t=20263
yi 	一	c=2 d=0.740818 t=20263
yi 	以	c=7 d=1.31168 t=20263
yi 	已	c=11 d=3.12201 t=20263
yi 	意	c=1 d=0.591555 t=20263
yi 	易	c=1 d=0.66034 t=20263
yi ban 	一版	c=9 d=2.19476 t=20263
yi ban 	一般	c=5 d=1.44721 t=20263
yi ban ren 	一般人	c=1 d=0.913931 t=20263
yi bian 	一边	c=1 d=0.491644 t=20263
yi bian 	一遍	c=6 d=2.13623 t=20263
yi bo 	一波	c=1 d=0.810584 t=20263
yi bu 	异步	c=1 d=0.980199 t=20263
yi ceng 	一层	c=1 d=0.895834 t=20263
yi chang 	异常	c=14 d=5.78464 t=20263
yi chu 	移除	c=6 d=2.51179 t=20263
yi ci 	一次	c=19 d=4.74857 t=20263
yi ci xing 	一次性	c=1 d=0.826959 t=20263
yi dian 	一点	c=8 d=3.63476 t=20263
yi dong 	移动	c=17 d=8.28283 t=20263
yi duan 	一段	c=2 d=1.37836 t=20263
yi dui 	一堆	c=2 d=1.50224 t=20263
